web-scraper-order,web-scraper-start-url,product_link,product_link-href,name,price,delivery_time,battery,seller,seller_rating,Color,ram,rom,warranty,overall_rating,camera_rating,battery_rating,display_rating,value_for_money_rating,product_review_link,product_review_link-href
"1546973939-654","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=2","Add to CompareHonor 7C (Gold, 64 GB)4.2150 Ratings & 13 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) Display13MP + 2MP | 8MP Front Camera3000 BatteryQualcomm SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹12,999EMI starting from ₹432/month","https://www.flipkart.com/honor-7c-gold-64-gb/p/itmf9w6bne6wgmtg?pid=MOBF3T87SAWXCH5E&srno=b_2_37&otracker=CLP_filters&lid=LSTMOBF3T87SAWXCH5EDVZFYT&fm=organic&iid=45650216-ee12-4bfe-becd-f09ccb9f75dd.MOBF3T87SAWXCH5E.SEARCH","Honor 7C (Gold, 64 GB)  (4 GB RAM)","₹12,999","13 Jan, Sunday","3000 Battery","ONLINEWORLD","4.7","Gold","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.2","null","null","null","null","All 13 reviews","https://www.flipkart.com/honor-7c-gold-64-gb/product-reviews/itmf9w6bne6wgmtg?pid=MOBF3T87SAWXCH5E"
"1546974073-677","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 7S (Gold, 16 GB)4.160,774 Ratings & 5,246 Reviews2 GB RAM | 16 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) Display13MP Rear Camera | 5MP Front Camera3020 BatteryMediatek MT6739 Cortex A53 Processor12 Months on Handset, 6 Months on Battery, 6 Months on Charger & 3 Months on Data Cable₹5,999₹8,99933% offUp to ₹5,900 Off on ExchangeEMI starting from ₹200/monthOffersSpecial Price","https://www.flipkart.com/honor-7s-gold-16-gb/p/itmf8df2dgtfzgtb?pid=MOBF8DF2GJ7FSGER&srno=b_1_14&otracker=CLP_filters&lid=LSTMOBF8DF2GJ7FSGERVMNE2W&fm=organic&iid=23f01647-657f-495f-8c03-430c7828db79.MOBF8DF2GJ7FSGER.SEARCH","Honor 7S (Gold, 16 GB)  (2 GB RAM)","₹5,999","Tomorrow, Thursday","3020 Battery","IndiFlashMart","4.7","Gold","2 GB","16 GB","12 Months on Handset, 6 Months on Battery, 6 Months on Charger & 3 Months on Data Cable","4.1","2.6","2.6","3.1","4.4","All 5246 reviews","https://www.flipkart.com/honor-7s-gold-16-gb/product-reviews/itmf8df2dgtfzgtb?pid=MOBF8DF2GJ7FSGER"
"1546974084-679","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 9i (Aurora Blue, 64 GB)4.341,414 Ratings & 7,898 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 128 GB14.99 cm (5.9 inch) Full HD+ Display16MP + 2MP | 13MP + 2MP Dual Front Camera3340 BatteryHuawei Kirin 659 Octa Core Clocked up to 2.36 GHz ProcessorFingerprint SensorMetal Unibody Design12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹11,999₹19,99940% offUp to ₹11,000 Off on ExchangeEMI starting from ₹399/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/honor-9i-aurora-blue-64-gb/p/itmexnp94kcvdnqw?pid=MOBEXNP92WMQUKHB&srno=b_1_12&otracker=CLP_filters&lid=LSTMOBEXNP92WMQUKHBW0KJNU&fm=organic&iid=956e7e32-191d-4f55-94f5-aa4aa1b05950.MOBEXNP92WMQUKHB.SEARCH","Honor 9i (Aurora Blue, 64 GB)  (4 GB RAM)","₹11,999","Tomorrow, Thursday","3340 Battery","IndiFlashMart","4.7","Aurora Blue","4 GB","64 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4.3","4.4","3.6","4.3","4.5","All 7898 reviews","https://www.flipkart.com/honor-9i-aurora-blue-64-gb/product-reviews/itmexnp94kcvdnqw?pid=MOBEXNP92WMQUKHB"
"1546974056-674","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","Add to CompareHonor 7C (Black, 64 GB)4.2150 Ratings & 13 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) Display13MP + 2MP | 8MP Front Camera3000 BatteryQualcomm SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹11,899EMI starting from ₹396/month","https://www.flipkart.com/honor-7c-black-64-gb/p/itmfaybh5jjzhmpz?pid=MOBF3T87GKAPCQNR&srno=b_1_17&otracker=CLP_filters&lid=LSTMOBF3T87GKAPCQNRDVBUCX&fm=organic&iid=e9b463fb-0521-4592-8b7e-13b4694c2b6e.MOBF3T87GKAPCQNR.SEARCH","Honor 7C (Black, 64 GB)  (4 GB RAM)","₹11,899","15 Jan, Tuesday","3000 Battery","CreativeDealSLP","4.7","Black","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.2","null","null","null","null","All 13 reviews","https://www.flipkart.com/honor-7c-black-64-gb/product-reviews/itmfaybh5jjzhmpz?pid=MOBF3T87GKAPCQNR"
"1546974067-676","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 9 Lite (Midnight Black, 32 GB)4.33,87,091 Ratings & 61,097 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB14.35 cm (5.65 inch) FHD+ Display13MP + 2MP | 13MP + 2MP Dual Front Camera3000 BatteryKirin 659 ProcessorFace UnlockRide Mode12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹9,999₹13,99928% offUp to ₹9,450 Off on ExchangeEMI starting from ₹333/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/honor-9-lite-midnight-black-32-gb/p/itmff5zgdeckztpk?pid=MOBFF5ZG7HCKHJCS&srno=b_1_15&otracker=CLP_filters&lid=LSTMOBFF5ZG7HCKHJCSWRP08C&fm=organic&iid=dbbaca07-1d43-4207-bdff-b98345ef2dee.MOBFF5ZG7HCKHJCS.SEARCH","Honor 9 Lite (Midnight Black, 32 GB)  (3 GB RAM)","₹9,999","2 Days, Friday","3000 Battery","IndiFlashMart","4.7","Midnight Black","3 GB","32 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4.3","4.0","3.1","4.2","4.7","All 61097 reviews","https://www.flipkart.com/honor-9-lite-midnight-black-32-gb/product-reviews/itmff5zgdeckztpk?pid=MOBFF5ZG7HCKHJCS"
"1546974148-690","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 7A (Blue, 32 GB)4.32,15,428 Ratings & 22,721 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB14.48 cm (5.7 inch) HD+ Display13MP + 2MP | 8.0MP Front Camera3000 BatteryQualcomm Snapdragon Octa Core Processor12 Months on handset, 6 Months on battery, 6 Months on charger & 3 Months on data cable₹7,999₹10,99927% offUp to ₹7,750 Off on ExchangeEMI starting from ₹266/monthOffersSpecial Price","https://www.flipkart.com/honor-7a-blue-32-gb/p/itmf3t8c3bunbspx?pid=MOBF3T87HMFBVGHX&srno=b_1_1&otracker=CLP_filters&lid=LSTMOBF3T87HMFBVGHXG7UMUP&fm=organic&iid=f22d6942-eb21-48de-adde-91f4b8c9d6cb.MOBF3T87HMFBVGHX.SEARCH","Honor 7A (Blue, 32 GB)  (3 GB RAM)","₹7,999","2 Days, Friday","3000 Battery","IndiFlashMart","4.7","Blue","3 GB","32 GB","12 Months on handset, 6 Months on battery, 6 Months on charger & 3 Months on data cable","4.3","3.0","2.4","3.5","4.7","All 22721 reviews","https://www.flipkart.com/honor-7a-blue-32-gb/product-reviews/itmf3t8c3bunbspx?pid=MOBF3T87HMFBVGHX"
"1546973860-637","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=3","Out Of StockAdd to CompareHonor 6X (Silver, 32 GB)4.313,386 Ratings & 2,784 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 128 GB13.97 cm (5.5 inch) Full HD Display12MP + 2MP | 8MP Front Camera3340 BatteryKirin 655 Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹11,999Up to ₹11,000 Off on ExchangeEMI starting from ₹399/monthOffersNo Cost EMI","https://www.flipkart.com/honor-6x-silver-32-gb/p/itmexczyddznvhd2?pid=MOBEWA9MFBMZD4Y7&srno=b_3_54&otracker=CLP_filters&lid=LSTMOBEWA9MFBMZD4Y7LZEVQK&fm=organic&iid=816ab966-d7fa-48ac-9080-0bfa3a384c78.MOBEWA9MFBMZD4Y7.SEARCH","Honor 6X (Silver, 32 GB)  (3 GB RAM)","₹11,999","null","3340 Battery","null","null","Silver","3 GB","32 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4.3","4.6","4.6","4.4","4.8","All 2784 reviews","https://www.flipkart.com/honor-6x-silver-32-gb/product-reviews/itmexczyddznvhd2?pid=MOBEWA9MFBMZD4Y7"
"1546973847-634","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=3","Out Of StockAdd to CompareHonor 4X (White, 8 GB)4.323,556 Ratings & 3,616 Reviews2 GB RAM | 8 GB ROM | Expandable Upto 32 GB13.97 cm (5.5 inch) HD Display13MP Rear Camera | 5MP Front Camera3000 BatteryQualcomm Snapdragon 410 MSM8916 64-bit Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹9,999Up to ₹9,450 Off on ExchangeEMI starting from ₹333/monthOffersNo Cost EMI","https://www.flipkart.com/honor-4x-white-8-gb/p/itmeuyd9vg73gghm?pid=MOBE47FHDNEEPYYW&srno=b_3_57&otracker=CLP_filters&lid=LSTMOBE47FHDNEEPYYWCXEEPY&fm=organic&iid=ef48478a-6d08-4122-a1ef-37761c1eb70a.MOBE47FHDNEEPYYW.SEARCH","Honor 4X (White, 8 GB)  (2 GB RAM)","₹9,999","null","3000 Battery","null","null","White","2 GB","8 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4.3","4.4","4.1","4.8","3.7","All 3616 reviews","https://www.flipkart.com/honor-4x-white-8-gb/product-reviews/itmeuyd9vg73gghm?pid=MOBE47FHDNEEPYYW"
"1546974131-687","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 9N (Sapphire Blue, 32 GB)4.41,00,572 Ratings & 10,378 Reviews3 GB RAM | 32 GB ROM | Expandable Upto 256 GB14.83 cm (5.84 inches) Display13MP + 2MP | 16MP Front Camera3000 BatteryKirin 659 Octa Core ProcessorFull View Display with Notch12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹9,999₹13,99928% offUp to ₹9,450 Off on ExchangeEMI starting from ₹333/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/honor-9n-sapphire-blue-32-gb/p/itmf9pgsehv6nmss?pid=MOBF6NAR36DUGTAG&srno=b_1_4&otracker=CLP_filters&lid=LSTMOBF6NAR36DUGTAGMDQLXY&fm=organic&iid=2394b8ab-7e2f-4be7-8449-a198c7000f3a.MOBF6NAR36DUGTAG.SEARCH","Honor 9N (Sapphire Blue, 32 GB)  (3 GB RAM)","₹9,999","Tomorrow, Thursday","3000 Battery","IndiFlashMart","4.7","Sapphire Blue","3 GB","32 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4.4","4.0","2.5","4.4","4.8","All 10378 reviews","https://www.flipkart.com/honor-9n-sapphire-blue-32-gb/product-reviews/itmf9pgsehv6nmss?pid=MOBF6NAR36DUGTAG"
"1546974025-668","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 10 (Midnight Black, 128 GB)4.49,282 Ratings & 1,829 Reviews6 GB RAM | 128 GB ROM |14.83 cm (5.84 inch) Full HD+ Display24MP + 16MP | 24MP Front Camera3400 Lithium Polymer BatteryHuawei Kirin 970 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹32,999₹35,9998% offUp to ₹14,900 Off on ExchangeEMI starting from ₹1097/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/honor-10-midnight-black-128-gb/p/itmf5fzywgspdndz?pid=MOBF49RYHRSCCGBH&srno=b_1_23&otracker=CLP_filters&lid=LSTMOBF49RYHRSCCGBHTBSCO4&fm=organic&iid=377dd188-b441-4339-bff4-6cbb715ae63b.MOBF49RYHRSCCGBH.SEARCH","Honor 10 (Midnight Black, 128 GB)  (6 GB RAM)","₹32,999","Tomorrow, Thursday","3400 Lithium Polymer Battery","IndiFlashMart","4.7","Midnight Black","6 GB","128 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.4","4.4","3.6","4.1","4.4","All 1829 reviews","https://www.flipkart.com/honor-10-midnight-black-128-gb/product-reviews/itmf5fzywgspdndz?pid=MOBF49RYHRSCCGBH"
"1546974102-682","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 9N (Midnight Black, 128 GB)4.391,914 Ratings & 10,418 Reviews4 GB RAM | 128 GB ROM | Expandable Upto 256 GB14.83 cm (5.84 inches) Display13MP + 2MP | 16MP Front Camera3000 BatteryKirin 659 Octa Core ProcessorFull View Display with Notch12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹17,999₹19,99910% offEMI starting from ₹598/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/honor-9n-midnight-black-128-gb/p/itmf9pgsehv6nmss?pid=MOBF6NARRFGSJDME&srno=b_1_9&otracker=CLP_filters&lid=LSTMOBF6NARRFGSJDME0IKF86&fm=organic&iid=1df51447-1055-4378-99e8-f88d2284c552.MOBF6NARRFGSJDME.SEARCH","Honor 9N (Midnight Black, 128 GB)  (4 GB RAM)","₹17,999","Tomorrow, Thursday","3000 Battery","IndiFlashMart","4.7","Midnight Black","4 GB","128 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4.3","3.8","2.5","4.4","4.6","All 10418 reviews","https://www.flipkart.com/honor-9n-midnight-black-128-gb/product-reviews/itmf9pgsehv6nmss?pid=MOBF6NARRFGSJDME"
"1546973968-659","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=2","Add to CompareHonor 8X (Black, 128 GB)4.533 Ratings & 3 Reviews6 GB RAM | 128 GB ROM |16.51 cm (6.5 inch) Display20MP + 2MP | 16MP Front Camera3750 Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries and 3 months for Data/USB cable from the date of purchase₹19,490EMI starting from ₹648/month","https://www.flipkart.com/honor-8x-black-128-gb/p/itmfbj6gcgxukj5n?pid=MOBFBJYTDSVFZBVZ&srno=b_2_32&otracker=CLP_filters&lid=LSTMOBFBJYTDSVFZBVZTU1ETC&fm=organic&iid=058eaa22-678d-44d2-a4e2-fcf0ded92c12.MOBFBJYTDSVFZBVZ.SEARCH","Honor 8X (Black, 128 GB)  (6 GB RAM)","₹19,490","13 Jan, Sunday","3750 Battery","VTMSLP","3.9","Black","6 GB","128 GB","1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries and 3 months for Data/USB cable from the date of purchase","4.5","null","null","null","null","null",""
"1546974079-678","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","ON OFFERAdd to CompareHonor 9i (Graphite Black, 64 GB)4.341,414 Ratings & 7,898 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 128 GB14.99 cm (5.9 inch) Full HD+ Display16MP + 2MP | 13MP + 2MP Dual Front Camera3340 BatteryHuawei Kirin 659 Octa Core Clocked up to 2.36 GHz ProcessorFingerprint SensorMetal Unibody Design12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹11,999₹19,99940% offUp to ₹11,000 Off on ExchangeEMI starting from ₹399/monthOffersNo Cost EMISpecial Price","https://www.flipkart.com/honor-9i-graphite-black-64-gb/p/itmexnp94kcvdnqw?pid=MOBEXNP98SPYXR4J&srno=b_1_13&otracker=CLP_filters&lid=LSTMOBEXNP98SPYXR4JEJ1CG5&fm=organic&iid=d92e443a-356a-4a6d-973a-6390aae32b0e.MOBEXNP98SPYXR4J.SEARCH","Honor 9i (Graphite Black, 64 GB)  (4 GB RAM)","₹11,999","Tomorrow, Thursday","3340 Battery","IndiFlashMart","4.7","Graphite Black","4 GB","64 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","4.3","4.4","3.6","4.3","4.5","All 7898 reviews","https://www.flipkart.com/honor-9i-graphite-black-64-gb/product-reviews/itmexnp94kcvdnqw?pid=MOBEXNP98SPYXR4J"
"1546973826-629","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=3","Out Of StockAdd to CompareHonor Bee 2 (White, 8 GB)3.9789 Ratings & 123 Reviews1 GB RAM | 8 GB ROM | Expandable Upto 32 GB11.43 cm (4.5 inch) FWVGA Display5MP Rear Camera | 2MP Front Camera2100 BatteryCortex-A53 Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹4,199EMI starting from ₹140/month","https://www.flipkart.com/honor-bee-2-white-8-gb/p/itmfy977pxphce6z?pid=MOBFY6FZHC6SPSE3&srno=b_3_62&otracker=CLP_filters&lid=LSTMOBFY6FZHC6SPSE3K9Y3GA&fm=organic&iid=d7b83966-597b-43cd-b7d9-aab49f99e1bc.MOBFY6FZHC6SPSE3.SEARCH","Honor Bee 2 (White, 8 GB)  (1 GB RAM)","₹4,199","null","2100 Battery","null","null","White","1 GB","8 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","3.9","null","null","null","null","All 123 reviews","https://www.flipkart.com/honor-bee-2-white-8-gb/product-reviews/itmfy977pxphce6z?pid=MOBFY6FZHC6SPSE3"
"1546974051-673","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=1","Add to CompareHonor 7C (Blue, 64 GB)4.2150 Ratings & 13 Reviews4 GB RAM | 64 GB ROM | Expandable Upto 256 GB15.21 cm (5.99 inch) Display13MP + 2MP | 8MP Front Camera3000 BatteryQualcomm SDM450 ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories₹11,899EMI starting from ₹396/month","https://www.flipkart.com/honor-7c-blue-64-gb/p/itmfaybh5jjzhmpz?pid=MOBF3T87CECXMZQH&srno=b_1_18&otracker=CLP_filters&lid=LSTMOBF3T87CECXMZQHLNBXUV&fm=organic&iid=45cd4e5d-fa7e-4d96-91bf-671fa3114cfd.MOBF3T87CECXMZQH.SEARCH","Honor 7C (Blue, 64 GB)  (4 GB RAM)","₹11,899","Tomorrow, Thursday","3000 Battery","SNAPKART","4.3","Blue","4 GB","64 GB","Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories","4.2","null","null","null","null","All 13 reviews","https://www.flipkart.com/honor-7c-blue-64-gb/product-reviews/itmfaybh5jjzhmpz?pid=MOBF3T87CECXMZQH"
"1546973830-630","https://www.flipkart.com/search?p%5B%5D=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor&page=3","Out Of StockAdd to CompareHonor Bee (Black and White, 8 GB)3.924,822 Ratings & 2,504 Reviews1 GB RAM | 8 GB ROM | Expandable Upto 32 GB11.43 cm (4.5 inch) FWVGA Display8MP Rear Camera | 2MP Front Camera1730 BatterySpreadtrum SC7731 Cortex-A7 Processor12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable₹4,999Up to ₹4,700 Off on ExchangeEMI starting from ₹167/monthOffersNo Cost EMI","https://www.flipkart.com/honor-bee-black-white-8-gb/p/itmeuyd8fn3qgdkv?pid=MOBE5TZ9EZEH7SNX&srno=b_3_61&otracker=CLP_filters&lid=LSTMOBE5TZ9EZEH7SNXS0RQPQ&fm=organic&iid=f6264854-317d-4b9b-bfd0-a8d4bc988d35.MOBE5TZ9EZEH7SNX.SEARCH","Honor Bee (Black and White, 8 GB)  (1 GB RAM)","₹4,999","null","1730 Battery","null","null","Black and White","1 GB","8 GB","12 Months on handset, 6 Months on battery , 6 Months on charger & 3 Months on data cable","3.9","null","null","null","null","All 2504 reviews","https://www.flipkart.com/honor-bee-black-white-8-gb/product-reviews/itmeuyd8fn3qgdkv?pid=MOBE5TZ9EZEH7SNX"
